name,brand,price,category,color,desc,rating,stock,keywords
PlayTime Electronics Item 23,PlayTime,616,Electronics,Navy,PlayTime Electronics Item 23 is a high-quality electronics product by PlayTime.,3.7,53,"electronics,playtime,navy"
TechBrand Home Appliances Item 24,TechBrand,546,Home Appliances,Red,TechBrand Home Appliances Item 24 is a high-quality home appliances product by TechBrand.,3.9,16,"home appliances,techbrand,red"
HomeBrew Sports Item 25,HomeBrew,733,Sports,Blue,HomeBrew Sports Item 25 is a high-quality sports product by HomeBrew.,5.0,96,"sports,homebrew,blue"
PhoneCo Office Item 26,PhoneCo,608,Office,Red,PhoneCo Office Item 26 is a high-quality office product by PhoneCo.,3.9,3,"office,phoneco,red"
PhoneCo Electronics Item 27,PhoneCo,827,Electronics,White,PhoneCo Electronics Item 27 is a high-quality electronics product by PhoneCo.,3.5,34,"electronics,phoneco,white"
FitLife Electronics Item 28,FitLife,1066,Electronics,White,FitLife Electronics Item 28 is a high-quality electronics product by FitLife.,4.2,55,"electronics,fitlife,white"
GreenWear Office Item 29,GreenWear,1525,Office,Silver,GreenWear Office Item 29 is a high-quality office product by GreenWear.,3.9,72,"office,greenwear,silver"
DenimCo Sports Item 30,DenimCo,1967,Sports,Blue,DenimCo Sports Item 30 is a high-quality sports product by DenimCo.,4.1,81,"sports,denimco,blue"
HomeBrew Electronics Item 31,HomeBrew,1021,Electronics,N/A,HomeBrew Electronics Item 31 is a high-quality electronics product by HomeBrew.,4.5,85,"electronics,homebrew,n/a"
FitLife Accessories Item 32,FitLife,1029,Accessories,Purple,FitLife Accessories Item 32 is a high-quality accessories product by FitLife.,3.8,64,"accessories,fitlife,purple"
HomeBrew Accessories Item 33,HomeBrew,801,Accessories,Black,HomeBrew Accessories Item 33 is a high-quality accessories product by HomeBrew.,4.3,83,"accessories,homebrew,black"
MuscleUp Toys Item 34,MuscleUp,1087,Toys,Silver,MuscleUp Toys Item 34 is a high-quality toys product by MuscleUp.,4.5,22,"toys,muscleup,silver"
HydroFlow Beauty Item 35,HydroFlow,1038,Beauty,Navy,HydroFlow Beauty Item 35 is a high-quality beauty product by HydroFlow.,3.9,99,"beauty,hydroflow,navy"
DenimCo Home Appliances Item 36,DenimCo,385,Home Appliances,Multi,DenimCo Home Appliances Item 36 is a high-quality home appliances product by DenimCo.,3.9,70,"home appliances,denimco,multi"
TechBrand Footwear Item 37,TechBrand,1703,Footwear,Brown,TechBrand Footwear Item 37 is a high-quality footwear product by TechBrand.,4.9,78,"footwear,techbrand,brown"
SoundMax Sports Item 38,SoundMax,1330,Sports,Navy,SoundMax Sports Item 38 is a high-quality sports product by SoundMax.,3.5,16,"sports,soundmax,navy"
PhoneCo Clothing Item 39,PhoneCo,902,Clothing,Gray,PhoneCo Clothing Item 39 is a high-quality clothing product by PhoneCo.,5.0,17,"clothing,phoneco,gray"
TechBrand Accessories Item 40,TechBrand,365,Accessories,Green,TechBrand Accessories Item 40 is a high-quality accessories product by TechBrand.,4.0,74,"accessories,techbrand,green"
KeyMasters Footwear Item 41,KeyMasters,1089,Footwear,Black,KeyMasters Footwear Item 41 is a high-quality footwear product by KeyMasters.,4.3,63,"footwear,keymasters,black"
PureBeauty Books Item 42,PureBeauty,1957,Books,Gray,PureBeauty Books Item 42 is a high-quality books product by PureBeauty.,4.2,90,"books,purebeauty,gray"
TechBrand Clothing Item 43,TechBrand,1341,Clothing,N/A,TechBrand Clothing Item 43 is a high-quality clothing product by TechBrand.,4.8,23,"clothing,techbrand,n/a"
GreenWear Footwear Item 44,GreenWear,1539,Footwear,Red,GreenWear Footwear Item 44 is a high-quality footwear product by GreenWear.,3.6,99,"footwear,greenwear,red"
Sportify Home Appliances Item 45,Sportify,1497,Home Appliances,Red,Sportify Home Appliances Item 45 is a high-quality home appliances product by Sportify.,4.9,33,"home appliances,sportify,red"
SoundMax Home Appliances Item 46,SoundMax,1707,Home Appliances,N/A,SoundMax Home Appliances Item 46 is a high-quality home appliances product by SoundMax.,3.9,38,"home appliances,soundmax,n/a"
TechBrand Office Item 47,TechBrand,347,Office,Red,TechBrand Office Item 47 is a high-quality office product by TechBrand.,4.3,93,"office,techbrand,red"
SoundMax Beauty Item 48,SoundMax,150,Beauty,Brown,SoundMax Beauty Item 48 is a high-quality beauty product by SoundMax.,3.8,67,"beauty,soundmax,brown"
PhoneCo Office Item 49,PhoneCo,597,Office,Multi,PhoneCo Office Item 49 is a high-quality office product by PhoneCo.,4.0,84,"office,phoneco,multi"
BookWorld Toys Item 50,BookWorld,725,Toys,Gray,BookWorld Toys Item 50 is a high-quality toys product by BookWorld.,3.9,80,"toys,bookworld,gray"
MuscleUp Footwear Item 51,MuscleUp,1226,Footwear,Navy,MuscleUp Footwear Item 51 is a high-quality footwear product by MuscleUp.,3.6,0,"footwear,muscleup,navy"
PlayTime Accessories Item 52,PlayTime,1303,Accessories,Blue,PlayTime Accessories Item 52 is a high-quality accessories product by PlayTime.,4.6,79,"accessories,playtime,blue"
SmileTech Footwear Item 53,SmileTech,1161,Footwear,N/A,SmileTech Footwear Item 53 is a high-quality footwear product by SmileTech.,4.2,67,"footwear,smiletech,n/a"
KeyMasters Footwear Item 54,KeyMasters,87,Footwear,Blue,KeyMasters Footwear Item 54 is a high-quality footwear product by KeyMasters.,4.0,53,"footwear,keymasters,blue"
TechBrand Home Appliances Item 55,TechBrand,1542,Home Appliances,Brown,TechBrand Home Appliances Item 55 is a high-quality home appliances product by TechBrand.,3.8,62,"home appliances,techbrand,brown"
Sportify Accessories Item 56,Sportify,828,Accessories,Blue,Sportify Accessories Item 56 is a high-quality accessories product by Sportify.,4.5,13,"accessories,sportify,blue"
KitchenPro Clothing Item 57,KitchenPro,1592,Clothing,Red,KitchenPro Clothing Item 57 is a high-quality clothing product by KitchenPro.,3.9,43,"clothing,kitchenpro,red"
DenimCo Office Item 58,DenimCo,1925,Office,Purple,DenimCo Office Item 58 is a high-quality office product by DenimCo.,4.8,69,"office,denimco,purple"
TechBrand Home Appliances Item 59,TechBrand,1831,Home Appliances,Purple,TechBrand Home Appliances Item 59 is a high-quality home appliances product by TechBrand.,4.2,23,"home appliances,techbrand,purple"
HydroFlow Books Item 60,HydroFlow,1323,Books,Navy,HydroFlow Books Item 60 is a high-quality books product by HydroFlow.,3.9,95,"books,hydroflow,navy"
DenimCo Office Item 61,DenimCo,1462,Office,Gray,DenimCo Office Item 61 is a high-quality office product by DenimCo.,3.6,56,"office,denimco,gray"
DenimCo Footwear Item 62,DenimCo,38,Footwear,Gray,DenimCo Footwear Item 62 is a high-quality footwear product by DenimCo.,3.7,4,"footwear,denimco,gray"
PureBeauty Electronics Item 63,PureBeauty,358,Electronics,Blue,PureBeauty Electronics Item 63 is a high-quality electronics product by PureBeauty.,3.5,76,"electronics,purebeauty,blue"
Elegance Home Appliances Item 64,Elegance,354,Home Appliances,Blue,Elegance Home Appliances Item 64 is a high-quality home appliances product by Elegance.,4.2,39,"home appliances,elegance,blue"
DenimCo Beauty Item 65,DenimCo,100,Beauty,Blue,DenimCo Beauty Item 65 is a high-quality beauty product by DenimCo.,4.1,62,"beauty,denimco,blue"
TechBrand Beauty Item 66,TechBrand,1320,Beauty,Brown,TechBrand Beauty Item 66 is a high-quality beauty product by TechBrand.,3.7,7,"beauty,techbrand,brown"
PhoneCo Office Item 67,PhoneCo,1735,Office,Black,PhoneCo Office Item 67 is a high-quality office product by PhoneCo.,4.5,80,"office,phoneco,black"
SoundMax Clothing Item 68,SoundMax,265,Clothing,N/A,SoundMax Clothing Item 68 is a high-quality clothing product by SoundMax.,4.7,82,"clothing,soundmax,n/a"
TechBrand Footwear Item 69,TechBrand,1306,Footwear,Black,TechBrand Footwear Item 69 is a high-quality footwear product by TechBrand.,3.8,27,"footwear,techbrand,black"
FitLife Clothing Item 70,FitLife,1369,Clothing,White,FitLife Clothing Item 70 is a high-quality clothing product by FitLife.,3.6,31,"clothing,fitlife,white"
KitchenPro Beauty Item 71,KitchenPro,687,Beauty,Purple,KitchenPro Beauty Item 71 is a high-quality beauty product by KitchenPro.,3.9,49,"beauty,kitchenpro,purple"
MuscleUp Beauty Item 72,MuscleUp,1756,Beauty,Multi,MuscleUp Beauty Item 72 is a high-quality beauty product by MuscleUp.,4.6,80,"beauty,muscleup,multi"
GreenWear Toys Item 73,GreenWear,852,Toys,Purple,GreenWear Toys Item 73 is a high-quality toys product by GreenWear.,4.4,57,"toys,greenwear,purple"
HydroFlow Footwear Item 74,HydroFlow,750,Footwear,Blue,HydroFlow Footwear Item 74 is a high-quality footwear product by HydroFlow.,4.7,34,"footwear,hydroflow,blue"
BrightTech Home Appliances Item 75,BrightTech,1362,Home Appliances,Black,BrightTech Home Appliances Item 75 is a high-quality home appliances product by BrightTech.,4.6,23,"home appliances,brighttech,black"
KeyMasters Electronics Item 76,KeyMasters,1654,Electronics,Blue,KeyMasters Electronics Item 76 is a high-quality electronics product by KeyMasters.,4.0,89,"electronics,keymasters,blue"
GreenWear Electronics Item 77,GreenWear,1917,Electronics,N/A,GreenWear Electronics Item 77 is a high-quality electronics product by GreenWear.,4.8,35,"electronics,greenwear,n/a"
FitLife Accessories Item 78,FitLife,1267,Accessories,Purple,FitLife Accessories Item 78 is a high-quality accessories product by FitLife.,4.2,29,"accessories,fitlife,purple"
GreenWear Toys Item 79,GreenWear,1585,Toys,Green,GreenWear Toys Item 79 is a high-quality toys product by GreenWear.,4.7,9,"toys,greenwear,green"
Elegance Beauty Item 80,Elegance,888,Beauty,Purple,Elegance Beauty Item 80 is a high-quality beauty product by Elegance.,4.8,35,"beauty,elegance,purple"
SmileTech Clothing Item 81,SmileTech,1379,Clothing,N/A,SmileTech Clothing Item 81 is a high-quality clothing product by SmileTech.,4.8,86,"clothing,smiletech,n/a"
Elegance Books Item 82,Elegance,154,Books,Brown,Elegance Books Item 82 is a high-quality books product by Elegance.,4.7,70,"books,elegance,brown"
DenimCo Home Appliances Item 83,DenimCo,1973,Home Appliances,Gray,DenimCo Home Appliances Item 83 is a high-quality home appliances product by DenimCo.,4.1,37,"home appliances,denimco,gray"
KeyMasters Accessories Item 84,KeyMasters,1972,Accessories,Silver,KeyMasters Accessories Item 84 is a high-quality accessories product by KeyMasters.,4.6,37,"accessories,keymasters,silver"
BrightTech Footwear Item 85,BrightTech,1413,Footwear,Gray,BrightTech Footwear Item 85 is a high-quality footwear product by BrightTech.,3.9,33,"footwear,brighttech,gray"
PlayTime Footwear Item 86,PlayTime,942,Footwear,White,PlayTime Footwear Item 86 is a high-quality footwear product by PlayTime.,3.6,11,"footwear,playtime,white"
Elegance Toys Item 87,Elegance,1365,Toys,Black,Elegance Toys Item 87 is a high-quality toys product by Elegance.,3.9,40,"toys,elegance,black"
TechBrand Electronics Item 88,TechBrand,878,Electronics,Gray,TechBrand Electronics Item 88 is a high-quality electronics product by TechBrand.,4.7,97,"electronics,techbrand,gray"
HydroFlow Home Appliances Item 89,HydroFlow,1850,Home Appliances,Gray,HydroFlow Home Appliances Item 89 is a high-quality home appliances product by HydroFlow.,4.9,25,"home appliances,hydroflow,gray"
MuscleUp Footwear Item 90,MuscleUp,441,Footwear,Navy,MuscleUp Footwear Item 90 is a high-quality footwear product by MuscleUp.,3.9,99,"footwear,muscleup,navy"
SoundMax Books Item 91,SoundMax,100,Books,Silver,SoundMax Books Item 91 is a high-quality books product by SoundMax.,3.9,95,"books,soundmax,silver"
Sportify Sports Item 92,Sportify,222,Sports,N/A,Sportify Sports Item 92 is a high-quality sports product by Sportify.,4.0,16,"sports,sportify,n/a"
AdventureGear Accessories Item 93,AdventureGear,466,Accessories,Purple,AdventureGear Accessories Item 93 is a high-quality accessories product by AdventureGear.,3.9,36,"accessories,adventuregear,purple"
KeyMasters Accessories Item 94,KeyMasters,625,Accessories,Navy,KeyMasters Accessories Item 94 is a high-quality accessories product by KeyMasters.,4.7,68,"accessories,keymasters,navy"
Sportify Footwear Item 95,Sportify,839,Footwear,White,Sportify Footwear Item 95 is a high-quality footwear product by Sportify.,4.4,91,"footwear,sportify,white"
MuscleUp Beauty Item 96,MuscleUp,99,Beauty,Multi,MuscleUp Beauty Item 96 is a high-quality beauty product by MuscleUp.,3.5,37,"beauty,muscleup,multi"
MuscleUp Electronics Item 97,MuscleUp,759,Electronics,Black,MuscleUp Electronics Item 97 is a high-quality electronics product by MuscleUp.,4.6,39,"electronics,muscleup,black"
PlayTime Electronics Item 98,PlayTime,942,Electronics,Black,PlayTime Electronics Item 98 is a high-quality electronics product by PlayTime.,4.1,27,"electronics,playtime,black"
Sportify Office Item 99,Sportify,1627,Office,N/A,Sportify Office Item 99 is a high-quality office product by Sportify.,5.0,99,"office,sportify,n/a"
DenimCo Home Appliances Item 100,DenimCo,1890,Home Appliances,Green,DenimCo Home Appliances Item 100 is a high-quality home appliances product by DenimCo.,4.8,24,"home appliances,denimco,green"
